BARRAGE DE L'ASTARAC;;;;
Date;Côte du bassin (m);Volume (Mm3);Surface (ha);
04/01/2016;240,75;2,458;82,595;1
09/01/2016;240,88;2,565;84,515;1
14/01/2016;241,03;2,694;86,799;1
19/01/2016;241,18;2,828;89,119;1
24/01/2016;241,52;3,135;94,305;1
29/01/2016;241,86;3,467;99,697;1
03/02/2016;242,08;3,693;103,265;1
08/02/2016;242,13;3,743;104,038;1
13/02/2016;243,11;4,841;120,207;1
18/02/2016;243,55;5,389;127,727;1
23/02/2016;243,77;5,668;131,434;1
28/02/2016;243,97;5,931;134,874;1
04/03/2016;244,38;6,508;142,187;1
09/03/2016;244,84;7,171;150,293;1
14/03/2016;245,14;7,630;155,718;1
19/03/2016;245,21;7,751;157,120;1
24/03/2016;245,21;7,748;157,083;1
29/03/2016;245,15;7,660;156,064;1
03/04/2016;245,10;7,582;155,155;1
08/04/2016;245,10;7,568;154,992;1
13/04/2016;245,08;7,548;154,756;1
18/04/2016;245,03;7,460;153,723;1
23/04/2016;244,98;7,387;152,854;1
28/04/2016;244,96;7,358;152,511;1
03/05/2016;244,98;7,390;152,890;1
08/05/2016;245,07;7,522;154,448;1
13/05/2016;245,18;7,694;156,464;1
18/05/2016;245,25;7,811;157,813;1
23/05/2016;245,42;8,083;160,941;1
28/05/2016;245,56;8,304;163,441;1
02/06/2016;245,60;8,371;164,197;1
07/06/2016;245,72;8,579;166,526;1
12/06/2016;245,79;8,693;167,787;1
17/06/2016;245,96;8,972;170,856;1
22/06/2016;246,02;9,074;171,958;1
27/06/2016;246,05;9,125;172,519;1
02/07/2016;245,99;9,025;171,435;1
07/07/2016;245,86;8,813;169,106;1
12/07/2016;245,77;8,649;167,304;1
17/07/2016;245,62;8,401;164,529;1
22/07/2016;245,29;7,866;158,451;1
27/07/2016;245,22;7,757;157,193;1
01/08/2016;244,93;7,307;151,915;1
06/08/2016;244,61;6,844;146,331;1
11/08/2016;244,37;6,491;141,975;1
16/08/2016;243,85;5,776;132,855;1
21/08/2016;243,32;5,095;123,729;1
26/08/2016;243,01;4,717;118,457;1
31/08/2016;242,42;4,055;108,796;1
05/09/2016;241,78;3,389;98,443;1
10/09/2016;241,20;2,842;89,365;1
15/09/2016;240,80;2,495;83,253;1
20/09/2016;240,72;2,436;82,192;1
25/09/2016;240,60;2,336;80,365;1
30/09/2016;240,31;2,107;76,086;1
05/10/2016;239,86;1,781;69,691;1
10/10/2016;239,67;1,650;67,016;1
15/10/2016;239,38;1,462;63,069;1
20/10/2016;239,31;1,420;62,168;1
25/10/2016;239,16;1,324;60,078;1
30/10/2016;239,28;1,401;61,766;1
04/11/2016;239,31;1,417;62,114;1
09/11/2016;239,36;1,449;62,800;1
14/11/2016;239,34;1,436;62,517;1
19/11/2016;239,36;1,452;62,853;1
24/11/2016;239,35;1,445;62,719;1
29/11/2016;239,44;1,502;63,935;1
04/12/2016;239,52;1,553;65,010;1
09/12/2016;239,52;1,548;64,901;1
14/12/2016;239,45;1,504;63,962;1
19/12/2016;239,29;1,407;61,900;1
24/12/2016;239,21;1,355;60,754;1
29/12/2016;239,01;1,239;58,202;1
03/01/2017;238,81;1,123;55,571;1
08/01/2017;238,75;1,091;54,820;1
13/01/2017;238,76;1,096;54,947;1
18/01/2017;239,15;1,320;59,999;1
23/01/2017;239,31;1,418;62,128;1
28/01/2017;239,46;1,509;64,084;1
02/02/2017;239,55;1,572;65,393;1
07/02/2017;239,96;1,849;71,058;1
12/02/2017;240,56;2,302;79,744;1
17/02/2017;240,85;2,540;84,064;1
22/02/2017;241,07;2,732;87,453;1
27/02/2017;241,28;2,919;90,673;1
04/03/2017;241,49;3,107;93,837;1
09/03/2017;241,82;3,425;99,030;1
14/03/2017;242,07;3,681;103,072;1
19/03/2017;242,26;3,880;106,141;1
24/03/2017;242,44;4,078;109,140;1
29/03/2017;242,68;4,342;113,057;1
03/04/2017;242,96;4,666;117,736;1
08/04/2017;242,98;4,688;118,038;1
13/04/2017;243,14;4,874;120,662;1
18/04/2017;243,27;5,032;122,862;1
23/04/2017;243,37;5,163;124,665;1
28/04/2017;243,49;5,308;126,630;1
03/05/2017;243,61;5,463;128,724;1
08/05/2017;243,76;5,662;131,364;1
13/05/2017;243,91;5,861;133,968;1
18/05/2017;244,12;6,138;137,533;1
23/05/2017;244,25;6,321;139,855;1
