Num;Nom;Nature;Région;Département;Commune;Riviere;Date construction;Lat;Lon;Volume (Mm3);superficie (ha);altitude (mNGF);Usages;Hydroélectricité;Irrigation;Alim. en eau;Crues;Loisirs;Tourisme;Soutien d'étiage;Navigation;Nucléaire;Nb usages;Intérêt DREAL Occitanie;;Date réception données in-situ;Z;V;S;V/S/Z;Traitées;Z(t);S(t);V(t);V/S/Z;
3;Agly;"retenue ""linéaire"" - vallée de rivière";Occitanie;Pyrénées-Orientales;Cassagnes;L'Agly;1995;42,7461;2,58972;25,8;178;184;Irrigation/Crues/Alimentation en eau;;1;1;1;;;;;;3;1;;20191230;2016-2019;oui;oui;non;;fait;fait;fait;fait;1
17;Arrêt-Darré;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Gonez;Arrêt-darré;1996;43,2333;0,200278;10,8;110;272;Hydroélectricité;1;;;;;;;;;1;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
21;Astarac;"Retenue ""classique""";Occitanie;Gers;Bézues-Bajon;Arrats;1976;43,3894;0,635833;10;180;244;Irrigation/Loisirs;;1;;;1;;;;;2;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
25;Aussoue;"Retenue ""classique""";Occitanie;Haute-Garonne;Saint-Frajou;L'Aussoue;1996;43,3214;0,841389;3;43;260;Hydroélectricité;1;;;;;;;;;1;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
32;Balerme;"Retenue ""classique""";Occitanie;Haute-Garonne;Verfeil;Balerme;1992;43,6417;1,69306;2,02;37;178;Hydroélectricité;1;;;;;;;;;1;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
35;Bancalie aval;"Retenue ""classique""";Occitanie;Tarn;Saint-Antonin-de-Lacalm;Lezert;1979;43,7786;2,26028;10,9;86;303;soutien d’étiage/AEP;;;1;;;;1;;;2;1;;20190910;non;non;non;oui;;manque;manque;manque;fait;2
62;Boues (Sere-Rustaing);"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Lamarque-Rustaing;Boues;1991;43,2692;0,300556;2,02;36,36;351;Hydroélectricité;1;;;;;;;;;1;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
63;Bouillouses;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Angoustrine-Villeneuve-des-Escaldes;Têt;1910;42,5603;2,00111;17,33;140;2016;Hydroélectricité;1;;;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
75;Bure;"Retenue ""classique""";Occitanie;Haute-Garonne;Poucharramet;Bure;1987;43,4158;1,15972;4;60;229;Hydroélectricité / irrigation;1;1;;;;;;;;2;1;;;;;;;;manque;manque;manque;manque;4
83;Cammazes;"Retenue ""classique""";Occitanie;Tarn;Cammazes;Sor;1958;43,4069;2,09556;18,8;90;569;eau potable/irrigation/soutien étiage;;1;1;;;;1;;;3;1;;20200108;2016-2019;oui;oui;oui;;fait;fait;fait;fait;1
86;Cap de Long;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Aragnouet;Neste de Couplan;1952;42,8231;0,1425;63;160;2161;Hydroélectricité;1;;;;;;;;;1;1;;;;;;;;manque;manque;manque;manque;4
177;Filhet;"Retenue ""classique""";Occitanie;Ariège;Mas-d'Azil;Filleit;1996;43,0706;1,39167;4,95;66;320;Irrigation/soutien d’étiage;;1;;;;;1;;;2;1;;20191230;2016-2019;oui;non;non;;fait;fait;fait;fait;1
190;Galaube;"Retenue ""classique""";Occitanie;Tarn;Arfons;Alzeau;2000;43,4036;2,22611;8,05;65;723;Navigation;;;;;;;;1;;1;1;;20200108;2016-2019;oui;oui;oui;;fait;fait;fait;fait;1
193;Ganguise;"Retenue ""classique""";Occitanie;Aude;Gourvieille;Ganguise;2007;43,3283;1,78944;44,6;400;238;Navigation/Irrigation;;1;;;;;;1;;2;1;;20190910;2016-2019;oui;oui;oui;;fait;fait;fait;fait;1
